2025-04-25 15:53:41, 肥大型心筋症（HCM）の1次検診における心電図所見で、左室肥大所見として留意すべき項目として最も適切なものを一つ選びなさい。, V5〜6の高いR波 + V1の深いS波,36498
2025-04-25 15:56:41, 皮下植込み型除細動器（S-ICD）を植え込む際に注意すべきこととして誤っているものを選べ。, S-ICD装着中は水泳を避ける,180004
2025-04-25 15:59:18, ファロー四徴症術後に肺動脈弁置換術と同時に外科的クライオアブレーションを施行した。正しいのはどれか。, 洞結節機能不全が高頻度で起こる,156353
2025-04-25 16:01:47, 13歳の男子。学校心電図で右側胸部誘導にST上昇が認められた。ブルガダ型症候群が疑われる場合、2次検診でまず確認すべき対応はどれか。, 日内変動による波形変化の確認,149377
2025-04-25 16:02:55, 13歳の女子。学校検診でST-T変化がみられた。4日前に風邪をひいたという。急性心筋炎の可能性を評価する上で重要な心電図所見はどれか。, 多発性の期外収縮とST-T変化の出現・変動,67752
2025-04-25 16:19:24, ARVC（不整脈原性右室心筋症）／ACM（不整脈原性心筋症）に関する記述のうち、誤っているものはどれか。, 心室中隔の菲薄化が特徴である,88304
2025-04-25 16:19:55, 右側胸部誘導でのみST上昇がみられた場合、鑑別を要する状況として最も適切なのはどれか。, 小学生女子でV1〜V3にかけて0.1mVのST上昇があり、運動時失神の既往がある,30852
2025-04-25 16:20:25, 8歳の患者。学校心臓検診の自動診断によりQT延長が検出された。次に行うべき対応として適切なのはどれか。, 再度手動でQT間隔を測定し、2次検診の要否を判断する,29817
2025-04-25 16:21:16, 心房中隔欠損症(ASD)について正しいものを選べ。, V1誘導のrsR′パターンと左側胸部誘導のT波異常は特異度が高い。,51384
2025-04-25 16:22:13, 運動中に失神を繰り返す10歳男児。安静時心電図に異常所見はないが、家族歴として若年突然死がある。最も考えられる疾患はどれか。, カテコラミン誘発多形性心室頻拍（CPVT）,56369
