2025-04-24 10:12:17, 「ブルガダ型」の心電図のタイプについて、それぞれの違いが分かるように説明せよ。,"ブルガダ型心電図はその形からcoved(弓、入り江)型、saddle back(馬鞍)型に分類されます。2mm以上のST上昇を伴うcoved型を、ブルガダ型心電図 タイプ1と分類されます。またsaddle back型をST上昇の程度により、ブルガダ型心電図タイプ 2、タイプ 3に分類されます。すなわち、1mm以上のST上昇をタイプ 2、1mm未満のST上昇をタイプ 3と分類します。
　cove型のブルガダ型心電図タイプ 1の症例で失神や心室細動、心房細動発症の危険が高いと言われています。ただブルガダ型心電図タイプ 2、3でもタイプ1への変動を認め、注意を要します。",77208,285
2025-04-24 10:13:41, 特発性肺動脈性肺高血圧症（I/HPAH）が疑われた児童に対し、学校心臓検診でどのような心電図所見が参考となるか。,"心電図は，本症の早期診断上，感度，特異度ともに十分
でないと報告されているが，小児PH患者の90％以上に心
電図異常を認め，実際にわが国のI/HPAHの約30％が学校
心臓検診を契機に診断されている222, 230)．右室高電位（右
側胸部誘導V1のQ波ならびに高いR波や，左側胸部誘導
V6の深いS波），右側胸部誘導（V1）・下方誘導（aVF）ST
低下などの右室肥大性変化（strain pattern）を認める場合，
明らかな右房負荷所見（II, III, aVF, V1のいずれかの誘導
でP ≧ 0.3 mV）を認める場合には抽出する233, 234)",83737,281
2025-04-24 10:17:09, 児童の心電図で広範なST-T変化や異常なQ波が見られた際に心筋症を疑うべき理由と、鑑別のために役立つ追加検査について述べよ。,"急性心筋炎は若年者の心臓突然死の重要な原因で，日本小児循環器学会の希少疾患サーベイランス152)でも，9年間で
478人のうち約10％が死亡していること、慢性活動性心筋炎は治療困難で予後不良の疾患であることのため。

（1）心エコー : 心室や心房の拡大，壁運動の低下，心嚢
液の貯留，一過性心筋肥厚，乳頭筋不全による房室
弁逆流
（2）心臓核医学検査: 急性期に67Ga心筋シンチグラフィ，
99mTc心筋シンチグラフィでの陽性像，111In-抗ミオ
シン抗体の集積像，急性期から遠隔期にかけての
201Tl心筋シンチグラフィでの欠損像による病変部位
の診断
（3）心臓 MRI: Gd造影によるLGEにおける信号強度の
増強像，T2強調画像で炎症部位の浮腫を反映した
高信号の確認が重要
（4）心内膜下心筋生検: 炎症性細胞の浸潤，心筋細胞の
融解や変性，断裂，消失，間質の浮腫や線維化
急性心筋炎では，光学顕微鏡下の評価で，大小の単核
細胞の集簇あるいは浸潤とそれに近接する心筋細胞の融解
消失や壊死が観察される．線維化の有無は問わない．心筋
生検を施行できない場合においても，通常は高感度心筋ト
ロポニンの上昇を伴い，発症から30日未満に施行された
心臓MRIで浮腫を示唆する所見を認める．
慢性活動性心筋炎では，心筋壊死を含めた心筋細胞傷
害を認める．本所見を認めない場合においても，心筋細胞
傷害を反映するトロポニン値の持続的上昇，あるいは心筋
組織における強い炎症を反映するテネイシンC（4C8）の陽
性所見や，CD3陽性 T細胞 ≧24/mm2
（5.8個 /HPF）の浸
潤所見を呈する場合は，慢性活動性心筋炎の可能性があ
る175)．",208420,727
2025-04-24 10:20:01, 心電図自動診断で「QT延長」が出た児童について、手動再計測時に注意すべきことを述べよ。,"ICH-E14ガイドラインでは,求 め ら れ て い るQT間 隔 の 計 測 精 度 が5msec以 内 で あ るが、通 常 われ わ
れ が 日常 臨床 で用 い て い る計 測 法 でQT間 隔 の 計測精 度 を5msec以 内 にす る こ とは 容 易 で は な いことに留意すべきである（つまり、測定のずれの可能性が大きいことに注意）",171242,178
2025-04-24 10:21:52, 「左室高電位」と心電図に表示された場合、左室肥大の有無を判別するために、追加でどのような情報を確認すべきか,スポーツ心臓と鑑別するために、左室が肥大化する背景疾患（高血圧、大動脈弁狭窄症、肥大型心筋症など）を心エコー検査などで探索する。,111563,64
2025-04-24 10:33:01, 学校心電図において、QRS波が小さく表示されることがある。どのような種類のフィルタリングが原因となるか。,筋電フィルター，ハムフィルターを使用した場合にはQRS振幅が10～15％程度小さくなることに留意する必要がある．,48025,56
2025-04-24 10:35:20, 先天性QT延長症候群の児童が無症状でも運動制限を要することがある。その理由を述べよ。,運動負荷心電図において、安静時には軽微なQT延長であっても、運動によって心拍数が上昇することでQT間隔がさらに延長し、致死性不整脈のリスクが高まる可能性がある。特に、LQT2型やLQT3型では、運動時や睡眠中、早朝にQT延長が顕在化しやすい傾向があり、運動によって心拍数が上昇すると、より顕著なQT延長が生じる可能性がある。そのため、遺伝学的検査の結果に基づき、先天性QT延長症候群と診断された児童は、運動によるQT延長が悪化するリスクを考慮し、専門医の指示のもとで運動制限を受けることがある。,139407,247
2025-04-24 10:40:20, 川崎病後に冠動脈病変が残る児童に対して、学校生活でどのような運動制限や管理指導が必要か、心エコーの所見との関係を踏まえて記述しなさい。,"一般的に冠動脈拡張・瘤の残存、および冠動脈狭窄性病変が認められる児童に対しては、抗血小板薬や抗凝固薬などの薬物治療による出血傾向についても指導することが重要です。軽微な外傷でも出血が止まりにくい可能性があるため、注意喚起と適切な処置方法を保護者と共有する必要があります。

また、特に後者の冠動脈狭窄性病変群に就いては、冠動脈狭窄性病変の程度と心筋虚血の有無によって、管理指導が大きく異なります。

*   **重症度分類V（a）群：狭窄性病変あり、心筋虚血所見なし**

    この群の児童は、心エコー検査で狭窄性病変が確認されるものの、心筋虚血の兆候は認められません。巨大瘤がない場合は《管理指導区分》「E禁」となり、運動部活動への参加は控えるべきです。巨大瘤が残存している場合は《管理指導区分》「D」となり、基本的には運動部活動に参加しないこととします。ただし、発症1年経過後で変化が見られない場合は、「E禁」も考慮されます。

*   **重症度分類V（b）群：狭窄性病変あり、心筋虚血所見あり、または心筋梗塞の既往あり**
   この群の児童は、心エコー検査で狭窄性病変に加え、心筋虚血の兆候が認められる、もしくは心筋梗塞の既往があります。運動負荷によって心筋虚血が悪化するリスクが高いため、運動制限が必要であり、運動部活動は禁止とします。運動負荷検査や心筋虚血の評価に基づき、《管理指導区分》「A」～「D」の判断を行います。状態によっては《管理指導区分》「E」となる可能性もあります。基本的には運動部活動への参加は控えることが望ましいです。",300034,677
2025-04-24 10:42:21, 不完全右脚ブロックと右軸偏位を伴う所見がある児童で心房中隔欠損症が疑われる。診断のために有用な追加検査について述べなさい。,"心臓超音波検査を施行し、欠損孔を探索する．「欠損孔が確認できない，それでも右心系の容量負荷が確実にある」といった症例では，unroofed coronary sinusなどの特殊な ASD，または部分肺静脈還流異常症の可能性を考えて小児循環器専門医に紹介する．
",121186,131
2025-04-24 10:43:50, 右側胸部誘導でST上昇が見られた場合、どのような疾患が疑われるか。,"*   **心疾患:** 心筋虚血、心膜炎、心筋炎、心筋症（特に不整脈原性右室心筋症：ARVC）、心室瘤、心臓腫瘍、急性肺動脈梗塞
*   **遺伝性不整脈:** ブルガダ症候群、早期再分極症候群（ERS）
*   **その他:** 高カリウム血症、低体温

特に、健康な小児において右側胸部誘導（V2誘導など）でのST上昇は正常亜型としてみられることもありますが、学年が進むにつれて男子で顕著になる傾向があります。しかし、不整脈が疑われる失神やけいれんの既往、若年性心臓突然死の家族歴などがなければ、直ちに抽出の対象とはなりません。ブルガダ症候群との鑑別が必要となります。",88140,287
