2025-04-24 10:06:09, 皮下植込み型除細動器（S-ICD）を植え込む際に注意すべきこととして誤っているものを選べ。, 空港では金属探知機を用いない方法で保安検査を行えるよう配慮してもらう,24409
2025-04-24 10:06:32, 13歳の女子。学校検診でST-T変化がみられた。4日前に風邪をひいたという。急性心筋炎の可能性を評価する上で重要な心電図所見はどれか。, 多発性の期外収縮とST-T変化の出現・変動,22434
2025-04-24 10:07:33, 運動中に失神を繰り返す10歳男児。安静時心電図に異常所見はないが、家族歴として若年突然死がある。最も考えられる疾患はどれか。, WPW症候群,61166
2025-04-24 10:08:35, 右側胸部誘導でのみST上昇がみられた場合、鑑別を要する状況として最も適切なのはどれか。, 高校生男子でV2誘導に0.2mVのST上昇があり、既往歴や家族歴は特にない,61620
2025-04-24 10:09:54, ファロー四徴症術後に肺動脈弁置換術と同時に外科的クライオアブレーションを施行した。正しいのはどれか。, SCAI伝導途絶を確認していない場合、再発の可能性がある,79293
2025-04-24 10:26:28, 心房中隔欠損症(ASD)について正しいものを選べ。, V1誘導のrsR′パターンと左側胸部誘導のT波異常は特異度が高い。,95625
2025-04-24 10:28:18, ARVC（不整脈原性右室心筋症）／ACM（不整脈原性心筋症）に関する記述のうち、誤っているものはどれか。, 心室中隔の菲薄化が特徴である,110447
2025-04-24 10:29:36, 肥大型心筋症（HCM）の1次検診における心電図所見で、左室肥大所見として留意すべき項目として最も適切なものを一つ選びなさい。, V5〜6の高いR波 + V1の深いS波,77864
2025-04-24 10:31:02, 13歳の男子。学校心電図で右側胸部誘導にST上昇が認められた。ブルガダ型症候群が疑われる場合、2次検診でまず確認すべき対応はどれか。, 心房細動の既往の有無,85816
2025-04-24 10:31:10, 8歳の患者。学校心臓検診の自動診断によりQT延長が検出された。次に行うべき対応として適切なのはどれか。, 再度手動でQT間隔を測定し、2次検診の要否を判断する,8076
