2025-04-30 18:04:45, 肥大型心筋症（HCM）の1次検診における心電図所見で、左室肥大所見として留意すべき項目として最も適切なものを一つ選びなさい。, V5〜6の高いR波 + V1の深いS波,101719
2025-04-30 18:06:34, 心房中隔欠損症(ASD)について正しいものを選べ。, 10歳までに治療しないと致死率が上昇する。,108942
2025-04-30 18:07:56, 8歳の患者。学校心臓検診の自動診断によりQT延長が検出された。次に行うべき対応として適切なのはどれか。, 再度手動でQT間隔を測定し、2次検診の要否を判断する,81739
2025-04-30 18:08:56, 13歳の女子。学校検診でST-T変化がみられた。4日前に風邪をひいたという。急性心筋炎の可能性を評価する上で重要な心電図所見はどれか。, 多発性の期外収縮とST-T変化の出現・変動,60326
2025-04-30 18:09:59, 運動中に失神を繰り返す10歳男児。安静時心電図に異常所見はないが、家族歴として若年突然死がある。最も考えられる疾患はどれか。, ブルガダ症候群,63264
2025-04-30 18:27:26, ARVC（不整脈原性右室心筋症）／ACM（不整脈原性心筋症）に関する記述のうち、誤っているものはどれか。, 心室中隔の菲薄化が特徴である,97865
2025-04-30 18:28:17, 13歳の男子。学校心電図で右側胸部誘導にST上昇が認められた。ブルガダ型症候群が疑われる場合、2次検診でまず確認すべき対応はどれか。, 日内変動による波形変化の確認,50551
2025-04-30 18:28:55, 皮下植込み型除細動器（S-ICD）を植え込む際に注意すべきこととして誤っているものを選べ。, S-ICD装着中は水泳を避ける,38316
2025-04-30 18:29:36, ファロー四徴症術後に肺動脈弁置換術と同時に外科的クライオアブレーションを施行した。正しいのはどれか。, SCAI伝導途絶を確認していない場合、再発の可能性がある,40523
2025-04-30 18:30:21, 右側胸部誘導でのみST上昇がみられた場合、鑑別を要する状況として最も適切なのはどれか。, 小学生女子でV1〜V3にかけて0.1mVのST上昇があり、運動時失神の既往がある,45039
